Conjunction;RefDevice;ClOrder;Choice
когда;pr;sm;pr
если;np;ms;no
хотя;pr;sm;pr
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;pr
из-за того что;pr;sm;pr
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;pr
если;np;ms;no
хотя;pr;sm;pr
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;pr
из-за того что;pr;sm;pr
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;no
если;np;ms;pr
хотя;pr;sm;pr
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;no
из-за того что;pr;sm;np
хотя;np;ms;pr
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;pr
если;np;ms;no
хотя;pr;sm;pr
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;pr
из-за того что;pr;sm;pr
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;pr
если;np;ms;no
хотя;pr;sm;np
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;pr
из-за того что;pr;sm;pr
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;pr
если;np;ms;no
хотя;pr;sm;np
из-за того что;np;ms;pr
когда;pr;ms;no
хотя;pr;ms;pr
когда;np;ms;no
если;pr;sm;pr
из-за того что;pr;sm;pr
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;pr
если;np;ms;no
хотя;pr;sm;np
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;pr
из-за того что;pr;sm;pr
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;no
если;np;ms;no
хотя;pr;sm;np
из-за того что;np;ms;pr
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;no
из-за того что;pr;sm;no
хотя;np;ms;pr
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;pr
если;np;ms;no
хотя;pr;sm;pr
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;pr
если;pr;sm;pr
из-за того что;pr;sm;pr
хотя;np;ms;pr
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;no/pr
если;np;ms;no
хотя;pr;sm;pr
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;pr?
из-за того что;pr;sm;np/pr
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;pr
если;np;ms;no
хотя;pr;sm;pr
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;no
из-за того что;pr;sm;pr
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;no
если;np;ms;no
хотя;pr;sm;pr
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;no
из-за того что;pr;sm;np
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;np
если;np;ms;no
хотя;pr;sm;np
из-за того что;np;ms;pr
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;pr
из-за того что;pr;sm;pr
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;pr?
если;np;ms;no
хотя;pr;sm;pr?
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;np
из-за того что;pr;sm;pr
хотя;np;ms;pr
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;np
если;np;ms;pr
хотя;pr;sm;np
из-за того что;np;ms;pr
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;pr
если;pr;sm;np
из-за того что;pr;sm;other
хотя;np;ms;pr
если;pr;ms;no
из-за того что;pr;ms;np
когда;pr;sm;pr
если;np;ms;no
хотя;pr;sm;pr
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;pr
из-за того что;pr;sm;pr
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;no
если;np;ms;no
хотя;pr;sm;no
из-за того что;np;ms;pr
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;pr
если;pr;sm;no
из-за того что;pr;sm;no
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;no
если;np;ms;no
хотя;pr;sm;pr
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;no
из-за того что;pr;sm;pr
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;pr
если;np;ms;no
хотя;pr;sm;np
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
если;pr;sm;pr
из-за того что;pr;sm;pr
хотя;np;ms;no
если;pr;ms;no
из-за того что;pr;ms;no
когда;pr;sm;pr
если;np;ms;no
хотя;pr;sm;pr
из-за того что;np;ms;no
когда;pr;ms;no
хотя;pr;ms;no
когда;np;ms;no
